title,date,location,url,attendees,tags
BIOEE 1780 Spring 2026 Field Trip Waivers,"Tuesday, 20 January 2026 At 8:00 AM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2296117,0 going,Private Event
BIOEE 1610 Spring 2026 Field Trip Waivers,"Tuesday, 20 January 2026 At 8:00 AM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2296702,0 going,"Open Event, Cultural, Poetry, Language"
Sweet Poetry - Call for participants,"Tuesday, 20 January 2026 At 9:00 AM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2295274,0 going,"Open Event, Mental Health, Health and Wellness, Resources, Spirituality, Faith/ Religion"
Let’s Talk: with Karen Williams,"Monday, 26 January 2026 At 2:00 PM, EST (GMT-5)",ATH 117 Conference Room,/rsvp_boot?id=2296357,0 going,Open Event
"NSF I-Corps: Explore your innovation’s potential for societal and economic impact! Tuesday, 03 February 2026 At 1:00 PM, EST (GMT-5)",Online Event,Opens the event page,/rsvp_boot?id=2298809,0 going,"Open Event, Community Service, Community"
Threads of Hope Project Donation Drive,"Wednesday, 04 February 2026 At 5:45 PM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2299007,0 going,"Open Training/Workshop, Self-Care, Education, Free, Mental Health, Health and Wellness, Awareness, Graduate School, Mindfulness, DIY, Identity, Inclusion"
Online Workshops to Help You Thrive,"Wednesday, 11 February 2026 At 1:00 PM, EST (GMT-5)",Online Event,/rsvp_boot?id=2300839,0 going,"Private Event, Resources"
Spring 2026 Tutors-on-Call Study Jams,"Saturday, 21 February 2026 At 12:00 AM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2301267,0 going,"Open Event, Dialogue/ Discussion, Advocacy, Activism, Community"
"Join the 2026 Beyond Waste Campaign- Thursday, 26 February 2026 At 12:00 AM, EST (GMT-5)",TBD,Opens the event page,/rsvp_boot?id=2302867,0 going,"Open Event, Free, Environment/ Sustainability, Awareness, Food/Drink"
North Campus Sustainability Series,"Friday, 27 February 2026 At 5:00 PM, EST (GMT-5)",Private Location ( sign in to display ),/rsvp_boot?id=2298804,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
American Sign Language Conversation Hour,"Wednesday, 18 March 2026 At 4:15 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297629,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Wednesday, 18 March 2026 At 4:30 PM, EDT (GMT-4)",Plant Science Building 328A,/rsvp_boot?id=2298360,0 going,Open Meeting
The Insurance Club Meeting,"Wednesday, 18 March 2026 At 4:45 PM, EDT (GMT-4)",Ives 217,/rsvp_boot?id=2303246,0 going,"Open Meeting, Mindfulness, Community, Faith/ Religion, Funded by Interfaith Council at ..."
Weekly Meditation and Meeting,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300505,0 going,"Open Meeting, Mindfulness, Community, Faith/ Religion, Funded by Interfaith Council at ..."
Weekly Meditation and Meeting,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300505,42 going,Open Training/Workshop
"Engineering Poster Workshop: Part 2 Session, March 25th","Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301400,42 going,Open Training/Workshop
