id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
cafe_alley_cat,Cafe / Coffee Shop,,,Alley Cat Cafe,"Downtown Ithaca cafe, coffee, study-friendly",Cafe,"Downtown Ithaca directory: volunteer-run cafe with drinks, treats, and a welcoming community-focused atmosphere. Good for casual coffee and low-key social hangouts.",112 N. Cayuga Street - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_bank_coffee,Cafe / Coffee Shop,,,Bank Coffee,"Downtown Ithaca cafe, coffee, study-friendly",Cafe,"Downtown Ithaca directory: cozy coffee and espresso spot in the heart of downtown Ithaca.",154 E. State St. - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_dewitt,Cafe / Coffee Shop,,,Cafe Dewitt,"Downtown Ithaca cafe, breakfast, lunch, pastries, study-friendly",Cafe,"Downtown Ithaca directory: full-service cafe offering breakfast, lunch, pastries, and award-winning brunch with local ingredients.",215 N. Cayuga St. - Dewitt Mall - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_ctb,Cafe / Coffee Shop,,,Collegetown Bagels,"Ithaca bagels, deli, coffee, budget-friendly",Cafe,"Downtown Ithaca directory: long-running Ithaca bagel and deli spot with coffee, sandwiches, pastries, and everyday casual food.",301 E. State St. - City Centre - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_greenstar_dewitt,Cafe / Coffee Shop,,,GreenStar Food Co+Op - Dewitt Mall,"Downtown Ithaca cafe, tea, grocery, budget-friendly",Cafe,"Downtown Ithaca directory: natural foods market with hot meals, groceries, tea, and quick downtown options.",215 N. Cayuga St. - Dewitt Mall - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_hound_and_mare,Cafe / Coffee Shop,,,Hound and Mare,"Downtown Ithaca cafe, breakfast, lunch",Cafe,"Downtown Ithaca directory: breakfast and lunch sandwiches, baked goods, and coffee-friendly cafe atmosphere.",118 N. Aurora Street - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_khouse,Cafe / Coffee Shop,,,K-HOUSE Karaoke & Arts Hub,"Downtown Ithaca cafe, karaoke, live music, late-night, social",Cafe,"Downtown Ithaca directory: daytime cafe and community workspace, then karaoke and live arts venue at night. Cafe hours Wednesday-Sunday 8am-4pm; bar and lounge 4pm-1am nightly.",121 W State St - Ithaca NY 14850,8:00 AM,1:00 AM,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_monks,Cafe / Coffee Shop,,,Monks On The Commons,"Downtown Ithaca breakfast, lunch, dinner",Cafe,"Downtown Ithaca directory: full-service restaurant serving breakfast, lunch, dinner, and weekend brunch.",120 South Aurora St - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_paris_baguette,Cafe / Coffee Shop,,,Paris Baguette,"Downtown Ithaca cafe, pastries, coffee",Cafe,"Downtown Ithaca directory: pastries, breads, cakes, and brewed drinks in a comfortable cafe setting.",125 E State St - Ithaca NY 14850,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_press,Cafe / Coffee Shop,,,Press Cafe,"Downtown Ithaca cafe, coffee, study-friendly",Cafe,"Downtown Ithaca directory listing for a downtown cafe location on West Green Street.",118 W. Green St. - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_greenhouse,Cafe / Coffee Shop,,,The Greenhouse Cafe and Cocktail Lounge,"Downtown Ithaca cafe, cocktails, dinner, social",Cafe,"Downtown Ithaca directory: cafe and cocktail lounge with locally sourced food and drinks. Better for social meals than quiet study.",320 E State St. - Ithaca NY,,,https://www.downtownithaca.com/directory/cafe-coffeeshops/
cafe_ithaca_coffee_gateway,Cafe / Coffee Shop,,,Ithaca Coffee Company,"Ithaca coffee, cafe, study-friendly",Cafe,"Official Ithaca Coffee location listing: Gateway Commons location with coffee and cafe seating. Search result hours indicate weekday morning through afternoon service.",311 E. Green Street - Ithaca NY,7:00 AM,3:00 PM,https://www.ithacacoffee.com/pages/visit
