id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
trail_13023930,Trail,-76.3713044,42.2688975,McKenna Lane,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/13023930
trail_13025226,Trail,-76.5387025,42.2662946,Briggs Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/13025226
trail_13026769,Trail,-76.585918,42.2709745,Cross Rd Abandoned,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/13026769
trail_13029538,Trail,-76.5312352,42.2727652,Robert Lehto Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: unpaved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/13029538
trail_13040160,Trail,-76.6106156,42.2659053,Cornish Hollow Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/13040160
trail_20165125,Trail,-76.7309413,42.4923316,Spaulding Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20165125
trail_20166969,Trail,-76.7370696,42.2984355,Hinman Turnpike,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20166969
trail_20167066,Trail,-76.707745,42.3439964,School House Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20167066
trail_20181730,Trail,-76.3371572,42.5026614,Dryden Rail Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20181730
trail_20182353,Trail,-76.3007863,42.4472169,G3,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20182353
trail_20184256,Trail,-76.6623339,42.3929178,Finger Lakes / North Country Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20184256
trail_20185508,Trail,-76.5940695,42.361427,Beach Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20185508
trail_20186009,Trail,-76.4007671,42.3224033,Eastman Hill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20186009
trail_20186442,Trail,-76.4620466,42.4751146,Northeast Ithaca Recreation Way,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20186442
trail_20186874,Trail,-76.3235995,42.5365245,Red Mill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20186874
trail_20187065,Trail,-76.4488236,42.4544246,Forest Home Circle,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20187065
trail_20187161,Trail,-76.271873,42.4110746,Hill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20187161
trail_20187757,Trail,-76.3832616,42.4639224,Pine Woods Hill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20187757
trail_20187976,Trail,-76.6747095,42.3262305,Connecticut Hill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: unpaved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20187976
